IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Pública,1,1,Avenida Fernando Correa da Costa,2367,Boa Esperança,Cidade Universitária,78060900.0
1,UNIVERSIDADE DE BRASÍLIA,UNB,FUNDACAO UNIVERSIDADE DE BRASILIA,Pública,1,1,Campus Universitário Darcy Ribeiro,s/n,Asa Norte,,70910900.0
2,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,Pública,1,1,Avenida Marechal Rondon,s/n,Jardim Rosa Elze,,49100000.0
3,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,FUNDACAO UNIVERSIDADE DO AMAZONAS,Pública,1,1,Av. Rodrigo Otávio,6200,Coroado II,Campus Universitário,69077000.0
4,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,Pública,1,1,Campus Universitário Ministro Petrônio Portela,s/n,Ininga,SG - 07,64049550.0
5,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,UNIVERSIDADE FEDERAL DE OURO PRETO,Pública,1,1,Rua Diogo de Vasconcelos,122,Centro,,35400000.0
6,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,Pública,1,1,Via Washington  Luis,Km 235,Monjolinho,S/Nº,13565905.0
7,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,UNIVERSIDADE FEDERAL DE VICOSA,Pública,1,1,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,36570000.0
8,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI,Pública,2,1,Rodovia Celso Garcia Cid Pr 445 Km 380,,Campus Universitário,UEL - CAMPUS UNIVERS,86057970.0
9,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,ASSOCIACAO PARANAENSE DE CULTURA - APC,Privada,5,1,Rua Imaculada Conceição,1155,Prado Velho,,80215901.0
10,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,CENTRO DE EDUCACAO TECNICA E CULTURAL,Privada,5,1,Rua do Príncipe,526,Boa Vista,Campus Universitário,50050900.0
11,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Pública,1,1,Av. Itália,S/N,Carreiros,KM - 8,96201900.0
12,UNIVERSIDADE DE CAXIAS DO SUL,UCS,FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL,Privada,5,1,Rua Francisco Getúlio Vargas,1130,Petrópolis,Bloco A,95070560.0
13,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,ASSOCIACAO ANTONIO VIEIRA,Privada,5,1,Av. Unisinos,950,Cristo Rei,,93022000.0
14,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,ASSOCIACAO FACULDADES CATOLICAS PETROPOLITANAS,Privada,5,1,Rua Benjamin Constant,213,Centro,,25610130.0
15,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,UNIVERSIDADE FEDERAL DE UBERLANDIA,Pública,1,1,Avenida João Naves de Ávila,2121,Santa Mônica,,38400902.0
16,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,ASSOCIACAO PELOTENSE DE ASSISTENCIA E CULTURA,Privada,5,1,Rua Félix da Cunha,412,Centro,,96010000.0
17,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,Privada,5,1,Rua Professor Doutor Euryclides de Jesus Zerbini,1516,Parque Rural Fazenda Santa Cândida,Gleba 1 - QT. 06422,13087571.0
18,UNIVERSIDADE DE PASSO FUNDO,UPF,FUNDACAO UNIVERSIDADE DE PASSO FUNDO,Privada,5,1,Upf Campus Passo Fundo - Campus I,s/nº,São José,BR 285 - KM 171,99001970.0
19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,Privada,5,1,Av. Ipiranga,6681,Partenon,,90619900.0
20,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,INSTITUTO PRESBITERIANO MACKENZIE,Privada,5,1,Rua da Consolação,896,Consolação,Campus São Paulo,1302907.0
21,UNIVERSIDADE FEEVALE,FEEVALE,ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO,Privada,5,1,Rodovia Rodovia ERS-239,nº 2755,Vila Nova,,93525075.0
22,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Pública,2,1,KM 16 DA RODOVIA ILHÉUS ITABUNA,S/N,Salobrinho,,45662900.0
23,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,Pública,1,3,Rua André Cavalcanti,106,Santa Teresa,,20231050.0
24,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO,Privada,5,1,Avenida Castelo Branco,82,Chacara das Rosas,,37417150.0
25,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,FUNDACAO UNIVERSIDADE ESTADUAL DO CEARA FUNECE,Pública,2,1,Av. Dr. Silas Munguba,1700,Serrinha,Campus Universitário,60740000.0
26,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,Privada,5,1,Rodovia Mg 179 - Km 0,s/n,Campus Universitário,,37130000.0
27,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL,Pública,2,1,Rua Jorge de Lima,113,Trapiche da Barra,,57010300.0
28,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,AVENIDA ENGENHEIRO CARLOS REINALDO MENDES,2.015,ALTO DA BOA VISTA,,18013280.0
29,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Praça Coronel Fernando Prestes,30,BOM RETIRO,,1124060.0
30,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Rua Emílio de Menezes,s/n,Vila Amorim,,13469111.0
31,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Avenida Bartolomeu de Gusmão 110 Fatec - Faculdade de Tecnólogia da Baixada Santista,110,Aparecida,,11045908.0
32,FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Rua Frei Galvão,S/N,JARDIM PEDRO OMETTO,,17212599.0
33,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,UNIVERSIDADE DO ESTADO DO PARA UEP,Pública,2,1,Travessa Djalma Dutra,S/N,Telégrafo Sem Fio,,66113010.0
34,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,Pública,2,1,Rua Silveira Martins,2555,Cabula,,41150000.0
35,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC,Pública,2,1,Avenida Madre Benvenuta,1907,Itacorubi,Campus I,88035001.0
36,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,UNIVERSIDADE ESTADUAL DE GOIAS,Pública,2,1,"Rodovia BR-153, Km 98",S/N,Área Rural,,75132400.0
37,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,Pública,2,1,Cidade Universitária,S/N,BARÃO GERALDO,,13083970.0
38,UNIVERSIDADE DE SÃO PAULO,USP,UNIVERSIDADE DE SAO PAULO,Pública,2,1,Rua da Reitoria,374,Butantã,,5508220.0
39,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,Pública,2,1,Rua Quirino de Andrade,215,Centro,,1049010.0
40,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI,Pública,2,1,Avenida Colombo,5790,Zona 7,Campus Universitário,87020900.0
41,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,FACULDADE DE DIREITO DE SAO BERNARDO DO CAMPO,Pública,3,3,Rua Java,425,JARDIM DO MAR,,9750650.0
42,FACULDADE DE DIREITO DE FRANCA,FDF,FACULDADE DE DIREITO DE FRANCA,Pública,3,3,Avenida Major Nicácio,2377,SÃO JOSÉ,,14401135.0
43,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,UNI-FACEF,CENTRO UNIVERSITARIO MUNICIPAL DE FRANCA,Especial,7,2,Avenida Major Nicácio,2433,SÃO JOSÉ,,14401135.0
44,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,FUNDACAO MUNICIPAL DE ENSINO DE PIRACICABA,Pública,3,3,Avenida Monsenhor Martinho Salgot,560,Areião,,13414040.0
45,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,FUNDACAO EDUCACIONAL DE PENAPOLIS,Pública,3,3,AV SÃO JOSÉ,400,VILA MARTINS,,16300000.0
46,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - UERN,Pública,2,1,Rua Almino Afonso,478,CENTRO,SEDE DA REITORIA,59610210.0
47,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,AUTARQUIA EDUCACIONAL DA MATA SUL,Especial,7,3,Br 101 Km 186 Sul,S/N,ENGENHO SAO MANOEL,,55540000.0
48,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,Especial,7,3,Rua Gumercindo Cavalcanti,420,SÃO CRISTOVÃO,PREDIO,56512902.0
49,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,FACULDADE DE FILOS CIENC E LETRAS DE S J DO RIO PARDO,Pública,3,3,Rua Jorge Tibiriça,451,CENTRO,,13720000.0
50,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU,Pública,3,1,Rua Antonio da Veiga,140,Victor Konder,,89012900.0
51,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,PREFEITURA MUNICIPAL DE ALEGRE,Pública,3,3,Rua Belo Amorim,100,Centro,,29500000.0
52,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES CATANDUVA,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,Pública,3,3,Av. Daniel Dalto S/N,S/N,Rural,Rodovia Washington L,15800970.0
53,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,FUNDACAO UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI - UNIDAVI -,Privada,5,2,Rua Dr. Guilherme Gemballa,13,Jardim América,,89160000.0
54,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,FUNDACAO EDUCACIONAL DA REGIAO DE JOINVILLE,Privada,5,1,Rua Paulo Malschitzki,10,Campus Universitário - Zona Industrial,CAMPUS JOINVILLE - B,89219710.0
55,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,FUNDACAO UNIVERSIDADE DO OESTE DE SANTA CATARINA,Privada,5,1,Rua Getúlio Vargas,2125,Flor da Serra,,89600000.0
56,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI,Privada,5,1,Rua Uruguai,458,Centro,UNIVALI - Universida,88302901.0
57,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ,FAFIMA,FUNDACAO EDUCACIONAL LUIZ REID,Privada,5,3,Rua Tenente Rui Lopes Ribeiro,200,Centro,,27910340.0
58,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,FUNDACAO EDUCACIONAL DE BRUSQUE FEBE,Privada,5,2,Rua Dorval Luz,123,Santa Terezinha,-,88352400.0
59,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,PREFEITURA DO MUNICIPIO DE JUNDIAI,Pública,3,3,Rua Francisco Telles,250,VILA ARENS,,13202550.0
60,ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ,ESEFJ,PREFEITURA DO MUNICIPIO DE JUNDIAI,Pública,3,3,Rua Rodrigo Soares de Oliveira,S/N,ANHANGABAU,,13208120.0
61,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAU,Pública,2,1,AVENIDA DA UNIVERSIDADE,850,BETÁNIA,,62040370.0
62,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE,Privada,5,3,Rua Lopes Franco,1001,Carijós,Blocos C / D,36400000.0
63,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,Pública,1,1,Praça Frei Orlando,170,Centro,,36307352.0
64,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,UNIVERSIDADE BRASIL,Privada,5,3,Rua Rodrigues Alves,756,Centro,,16900900.0
65,UNIVERSIDADE DE ARARAQUARA,UNIARA,ASSOCIACAO SAO BENTO DE ENSINO,Privada,5,1,Rua Voluntários da Pátria,1309,Centro,,14801320.0
66,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,ASSOCIACAO EDUCACIONAL DE ARARAS,Privada,5,2,Avenida Ernani Lacerda de Oliveira,100,Parque Santa Cândida,,13603112.0
67,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,FUNDACAO INSTITUTO NACIONAL DE TELECOMUNICACOES,Privada,5,3,Avenida João de Camargo,510,Centro,,37540000.0
68,FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA,FAEFI,SISTEMA EDUCACIONAL SANTA MONICA LTDA,Privada,4,3,Rua João Gerin,275,Vila Operária,,17340000.0
69,CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,ACAO EDUCACIONAL CLARETIANA,Privada,5,2,Rua Dom Bosco,466,Castelo,,14300172.0
