IDRegiao,NomeRegiao,NomeUnidadeFederacao,SiglaUnidadeFederacao,NomeMunicipio,CodigoMunicipio
0,Centro-Oeste,Mato Grosso,MT,Cuiabá,5103403
1,Centro-Oeste,Distrito Federal,DF,Brasília,5300108
2,Nordeste,Sergipe,SE,São Cristóvão,2806701
3,Norte,Amazonas,AM,Manaus,1302603
4,Nordeste,Piauí,PI,Teresina,2211001
5,Sudeste,Minas Gerais,MG,Ouro Preto,3146107
6,Sudeste,São Paulo,SP,São Carlos,3548906
7,Sudeste,Minas Gerais,MG,Viçosa,3171303
8,Sul,Paraná,PR,Londrina,4113700
9,Sul,Paraná,PR,Curitiba,4106902
10,Nordeste,Pernambuco,PE,Recife,2611606
11,Sul,Rio Grande do Sul,RS,Rio Grande,4315602
12,Sul,Rio Grande do Sul,RS,Caxias do Sul,4305108
13,Sul,Rio Grande do Sul,RS,São Leopoldo,4318705
14,Sudeste,Rio de Janeiro,RJ,Petrópolis,3303906
15,Sudeste,Minas Gerais,MG,Uberlândia,3170206
16,Sul,Rio Grande do Sul,RS,Pelotas,4314407
17,Sudeste,São Paulo,SP,Campinas,3509502
18,Sul,Rio Grande do Sul,RS,Passo Fundo,4314100
19,Sul,Rio Grande do Sul,RS,Porto Alegre,4314902
20,Sudeste,São Paulo,SP,São Paulo,3550308
21,Sul,Rio Grande do Sul,RS,Novo Hamburgo,4313409
22,Nordeste,Bahia,BA,Ilhéus,2913606
23,Sudeste,Rio de Janeiro,RJ,Rio de Janeiro,3304557
24,Sudeste,Minas Gerais,MG,Três Corações,3169307
25,Nordeste,Ceará,CE,Fortaleza,2304400
26,Sudeste,Minas Gerais,MG,Alfenas,3101607
27,Nordeste,Alagoas,AL,Maceió,2704302
28,Sudeste,São Paulo,SP,Sorocaba,3552205
29,Sudeste,São Paulo,SP,Americana,3501608
30,Sudeste,São Paulo,SP,Santos,3548500
31,Sudeste,São Paulo,SP,Jaú,3525300
32,Norte,Pará,PA,Belém,1501402
33,Nordeste,Bahia,BA,Salvador,2927408
34,Sul,Santa Catarina,SC,Florianópolis,4205407
35,Centro-Oeste,Goiás,GO,Anápolis,5201108
36,Sul,Paraná,PR,Maringá,4115200
37,Sudeste,São Paulo,SP,São Bernardo do Campo,3548708
38,Sudeste,São Paulo,SP,Franca,3516200
39,Sudeste,São Paulo,SP,Piracicaba,3538709
40,Sudeste,São Paulo,SP,Penápolis,3537305
41,Nordeste,Rio Grande do Norte,RN,Mossoró,2408003
42,Nordeste,Pernambuco,PE,Palmares,2610004
43,Nordeste,Pernambuco,PE,Arcoverde,2601201
44,Sudeste,São Paulo,SP,São José do Rio Pardo,3549706
45,Sul,Santa Catarina,SC,Blumenau,4202404
46,Sudeste,Espírito Santo,ES,Alegre,3200201
47,Sudeste,São Paulo,SP,Catanduva,3511102
48,Sul,Santa Catarina,SC,Rio do Sul,4214805
49,Sul,Santa Catarina,SC,Joinville,4209102
50,Sul,Santa Catarina,SC,Joaçaba,4209003
51,Sul,Santa Catarina,SC,Itajaí,4208203
52,Sudeste,Rio de Janeiro,RJ,Macaé,3302403
53,Sul,Santa Catarina,SC,Brusque,4202909
54,Sudeste,São Paulo,SP,Jundiaí,3525904
55,Nordeste,Ceará,CE,Sobral,2312908
56,Sudeste,Minas Gerais,MG,Conselheiro Lafaiete,3118304
57,Sudeste,Minas Gerais,MG,São João del Rei,3162500
58,Sudeste,São Paulo,SP,Andradina,3502101
59,Sudeste,São Paulo,SP,Araraquara,3503208
60,Sudeste,São Paulo,SP,Araras,3503307
61,Sudeste,Minas Gerais,MG,Santa Rita do Sapucaí,3159605
62,Sudeste,São Paulo,SP,Barra Bonita,3505302
63,Sudeste,São Paulo,SP,Batatais,3505906
64,Sudeste,São Paulo,SP,Bauru,3506003
65,Sudeste,São Paulo,SP,Ribeirão Preto,3543402
66,Sudeste,Minas Gerais,MG,Uberaba,3170107
67,Sudeste,Rio de Janeiro,RJ,Vassouras,3306206
68,Sudeste,Minas Gerais,MG,Varginha,3170701
69,Nordeste,Pernambuco,PE,Olinda,2609600
70,Sudeste,São Paulo,SP,São José do Rio Preto,3549805
71,Nordeste,Pernambuco,PE,Caruaru,2604106
72,Sudeste,São Paulo,SP,Mococa,3530508
73,Sudeste,Minas Gerais,MG,Pouso Alegre,3152501
74,Sudeste,Minas Gerais,MG,Belo Horizonte,3106200
75,Sudeste,São Paulo,SP,São João da Boa Vista,3549102
76,Sudeste,São Paulo,SP,Monte Aprazível,3531407
77,Sudeste,São Paulo,SP,Votuporanga,3557105
78,Sudeste,São Paulo,SP,Santo André,3547809
79,Sudeste,São Paulo,SP,Mogi das Cruzes,3530607
80,Sudeste,São Paulo,SP,Osasco,3534401
81,Sudeste,São Paulo,SP,Pirassununga,3539301
82,Sudeste,São Paulo,SP,Ourinhos,3534708
83,Sudeste,Espírito Santo,ES,Vitória,3205309
84,Sudeste,São Paulo,SP,Tupã,3555000
85,Sudeste,São Paulo,SP,Presidente Prudente,3541406
86,Sudeste,São Paulo,SP,São José dos Campos,3549904
87,Sudeste,Minas Gerais,MG,Itajubá,3132404
88,Sudeste,Minas Gerais,MG,Governador Valadares,3127701
89,Sul,Rio Grande do Sul,RS,Três de Maio,4321808
90,Sul,Rio Grande do Sul,RS,Santa Cruz do Sul,4316808
91,Sul,Rio Grande do Sul,RS,Bagé,4301602
92,Sul,Paraná,PR,Jandaia do Sul,4112108
93,Sudeste,Minas Gerais,MG,Divinópolis,3122306
94,Sudeste,Minas Gerais,MG,Barbacena,3105608
95,Sudeste,São Paulo,SP,Tatuí,3554003
96,Sudeste,Rio de Janeiro,RJ,Nova Iguaçu,3303500
97,Sudeste,Minas Gerais,MG,Juiz de Fora,3136702
98,Nordeste,Paraíba,PB,João Pessoa,2507507
99,Sudeste,São Paulo,SP,Limeira,3526902
100,Sudeste,São Paulo,SP,São Caetano do Sul,3548807
101,Sudeste,Minas Gerais,MG,Montes Claros,3143302
102,Centro-Oeste,Goiás,GO,Goiânia,5208707
103,Centro-Oeste,Mato Grosso do Sul,MS,Campo Grande,5002704
104,Nordeste,Sergipe,SE,Aracaju,2800308
105,Sudeste,São Paulo,SP,Marília,3529005
106,Sul,Rio Grande do Sul,RS,Erechim,4307005
107,Sul,Rio Grande do Sul,RS,Santa Maria,4316907
108,Sul,Paraná,PR,Rolândia,4122404
109,Sudeste,Minas Gerais,MG,Muriaé,3143906
110,Sul,Paraná,PR,Umuarama,4128104
111,Sudeste,São Paulo,SP,Ituverava,3524105
112,Sudeste,São Paulo,SP,Itu,3523909
113,Sul,Santa Catarina,SC,Mafra,4210100
114,Sul,Rio Grande do Sul,RS,Cruz Alta,4306106
115,Sul,Rio Grande do Sul,RS,Canoas,4304606
116,Norte,Rondônia,RO,Ji-Paraná,1100122
117,Norte,Pará,PA,Santarém,1506807
118,Norte,Tocantins,TO,Palmas,1721000
119,Sul,Rio Grande do Sul,RS,Camaquã,4303509
120,Sudeste,Rio de Janeiro,RJ,Duque de Caxias,3301702
121,Sudeste,Rio de Janeiro,RJ,Resende,3304201
122,Sudeste,Rio de Janeiro,RJ,Teresópolis,3305802
123,Sudeste,São Paulo,SP,Guarulhos,3518800
124,Sul,Santa Catarina,SC,Criciúma,4204608
125,Sudeste,Rio de Janeiro,RJ,Volta Redonda,3306305
